year,round,pick,team,player,keeper
2020,14,5,Trust the Process,Justin Rohrwasser,False
2020,14,6,Stop Scoring  On Me,Benny Snell Jr.,False
2020,14,7,Weak  Knees,Kirk Cousins,False
2020,14,8,B T C,Seahawks D/ST,False
2020,14,9,Full Chubb,Robbie Gould,False
2020,14,10,Fantasy  Football Team ,Greg Zuerlein,False
2020,15,1,Fantasy  Football Team ,Rams D/ST,False
2020,15,2,Full Chubb,Patriots D/ST,False
2020,15,3,B T C,Daniel Jones,False
2020,15,4,Weak  Knees,Dallas Goedert,False
2020,15,5,Stop Scoring  On Me,Ka'imi Fairbairn,False
2020,15,6,Trust the Process,Chiefs D/ST,False
2020,15,7,The Sicilian  Defense ,Matt Gay,False
2020,15,8,First Round Manager ,Jared Goff,False
2020,15,9,Herbert Fully Loaded,Younghoe Koo,False
2020,15,10,Doug Dimmadome,Eric Ebron,False
2020,16,1,Doug Dimmadome,,False
2020,16,2,Herbert Fully Loaded,,False
2020,16,3,First Round Manager ,,False
2020,16,4,The Sicilian  Defense ,,False
2020,16,5,Trust the Process,,False
2020,16,6,Stop Scoring  On Me,,False
2020,16,7,Weak  Knees,,False
2020,16,8,B T C,,False
2020,16,9,Full Chubb,,False
2020,16,10,Fantasy  Football Team ,,False
2021,1,1,Run C.M.C.,Christian McCaffrey,False
2021,1,2,Leaping  Gnome's,Dalvin Cook,False
2021,1,3,Slop 'em  up,Alvin Kamara,False
2021,1,4,Party Party Party Party,Davante Adams,False
2021,1,5,Fantasy  Football Team ,Derrick Henry,False
2021,1,6,Darth  Goose,Najee Harris,False
2021,1,7,Is Saquon  Toast? Yes,Saquon Barkley,False
2021,1,8,Team Bag,Ezekiel Elliott,False
2021,1,9,Im George K,Aaron Jones,False
2021,1,10,Chuba Chubb,Travis Kelce,False
2021,2,1,Chuba Chubb,Nick Chubb,False
2021,2,2,Im George K,Austin Ekeler,False
2021,2,3,Team Bag,Tyreek Hill,False
2021,2,4,Is Saquon  Toast? Yes,Jonathan Taylor,False
2021,2,5,Darth  Goose,Stefon Diggs,False
2021,2,6,Fantasy  Football Team ,Antonio Gibson,False
2021,2,7,Party Party Party Party,DK Metcalf,False
2021,2,8,Slop 'em  up,DeAndre Hopkins,False
2021,2,9,Leaping  Gnome's,Justin Jefferson,False
2021,2,10,Run C.M.C.,Calvin Ridley,False
2021,3,1,Run C.M.C.,Joe Mixon,False
2021,3,2,Leaping  Gnome's,A.J. Brown,False
2021,3,3,Slop 'em  up,James Robinson,False
2021,3,4,Party Party Party Party,Darren Waller,False
2021,3,5,Fantasy  Football Team ,Keenan Allen,False
2021,3,6,Darth  Goose,Mike Evans,False
2021,3,7,Is Saquon  Toast? Yes,Allen Robinson II,False
2021,3,8,Team Bag,Chris Carson,False
2021,3,9,Im George K,George Kittle,False
2021,3,10,Chuba Chubb,Terry McLaurin,False
2021,4,1,Chuba Chubb,Robert Woods,False
2021,4,2,Im George K,Patrick Mahomes,False
2021,4,3,Team Bag,Cooper Kupp,False
2021,4,4,Is Saquon  Toast? Yes,Mike Davis,False
2021,4,5,Darth  Goose,Adam Thielen,False
2021,4,6,Fantasy  Football Team ,Amari Cooper,False
2021,4,7,Party Party Party Party,Clyde Edwards-Helaire,False
2021,4,8,Slop 'em  up,Chris Godwin,False
2021,4,9,Leaping  Gnome's,Miles Sanders,False
2021,4,10,Run C.M.C.,David Montgomery,False
2021,5,1,Run C.M.C.,Julio Jones,False
2021,5,2,Leaping  Gnome's,Josh Allen,False
2021,5,3,Slop 'em  up,Kyle Pitts,False
2021,5,4,Party Party Party Party,Josh Jacobs,False
2021,5,5,Fantasy  Football Team ,Kyler Murray,False
2021,5,6,Darth  Goose,D'Andre Swift,False
2021,5,7,Is Saquon  Toast? Yes,Tyler Lockett,False
2021,5,8,Team Bag,Gus Edwards,False
